scope,chemistry,model,rmse,mae,r2,picp90,mean_width,ece,n
per_chemistry,LCO,gpr,0.06933096345891243,0.0221048363470796,0.8887609411022634,0.8583333333333333,0.08486931140868145,0.06083333333333333,480
per_chemistry,LFP,gpr,0.013655835029941258,0.007885140339123319,0.9128628543475865,0.8530487804878049,0.029342578560198024,0.051097560975609774,1640
ensemble,all,gpr,0.035254145423344006,0.011159105636832896,0.9306960417540903,0.8872641509433963,0.04448435891208051,0.021981132075471702,2120
shared,all,gpr,0.055425981745537506,0.01627150310316226,0.8286972064939602,0.8754716981132076,0.052922639092715294,0.05547169811320754,2120
per_chemistry,LCO,xgb,0.03764769725330766,0.026826227906339154,0.9671995599658043,0.8541666666666666,0.2222333822088937,0.07583333333333332,480
per_chemistry,LFP,xgb,0.0108727190607285,0.007481235689916896,0.9447613394114908,0.8408536585365853,0.03303356025277115,0.059146341463414645,1640
ensemble,all,xgb,0.026840984833178153,0.012413459266684383,0.9598269736360614,0.9268867924528302,0.0751546832719527,0.044245283018867904,2120
shared,all,xgb,0.03832430972665672,0.01505182583063112,0.9180995403482154,0.8589622641509433,0.07528861789208538,0.05462264150943398,2120
